listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,district,city,latitude,longitude,property_type,room_type,accommodates,bedrooms,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
37102870,SeaSide Hong Kong,107359991,2016-12-15,"Paris, Ile-de-France, France",NA,NA,1,FALSE,1,TRUE,TRUE,Southern,NA,Hong Kong,22.21835,114.21198,Entire apartment,Entire place,4,1,"[""Hair dryer"", ""Hot water"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Shampoo"", ""Fire extinguisher"", ""First aid kit"", ""Kitchen"", ""Smoke alarm"", ""Essentials"", ""Beachfront"", ""Dedicated workspace"", ""Heating"", ""Iron"", ""Cooking basics"", ""Private entrance"", ""Lockbox"", ""Extra pillows and blankets"", ""Bed linens"", ""Long term stays allowed"", ""Washer"", ""Carbon monoxide alarm"", ""TV"", ""Dishes and silverware""]",1409,1,1125,100,10,10,10,10,10,10,FALSE
39404140,New Luxury City View 2BR apt @TST MTR,249979637,2019-03-19,HK,NA,NA,0.67,FALSE,1,TRUE,FALSE,Yau Tsim Mong,NA,Hong Kong,22.29556,114.17296,Entire apartment,Entire place,6,2,"[""Shampoo"", ""Bed linens"", ""Long term stays allowed"", ""Dedicated workspace"", ""Hot water"", ""Air conditioning"", ""Cooking basics"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Dishes and silverware""]",9441,14,1125,NA,NA,NA,NA,NA,NA,NA,TRUE
41918741,Brilliance,82584207,2016-07-09,Hong Kong,NA,NA,0.6,FALSE,1,TRUE,TRUE,Islands,NA,Hong Kong,22.29354,114.01588,Entire apartment,Entire place,4,2,"[""Shampoo"", ""Hair dryer"", ""Fire extinguisher"", ""Long term stays allowed"", ""Dedicated workspace"", ""Private entrance"", ""Heating"", ""Washer"", ""Iron"", ""TV"", ""Air conditioning"", ""First aid kit"", ""Hangers"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Breakfast""]",1600,3,1125,NA,NA,NA,NA,NA,NA,NA,FALSE
274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",1435069,2011-11-23,Hong Kong,NA,NA,0.86,FALSE,1,TRUE,FALSE,Wan Chai,NA,Hong Kong,22.27928,114.17124,Entire apartment,Entire place,4,2,"[""Hair dryer"", ""Dryer"", ""Hot water"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Shampoo"", ""Refrigerator"", ""First aid kit"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Microwave"", ""Iron"", ""Cooking basics"", ""Stove"", ""Long term stays allowed"", ""Washer"", ""TV"", ""Cable TV"", ""Dishes and silverware""]",969,7,1125,95,10,9,10,10,10,9,TRUE
846482,Japanese style in Sai Ying Pun,4420092,2012-12-16,Hong Kong,NA,NA,0.6,FALSE,1,TRUE,TRUE,Central & Western,NA,Hong Kong,22.28638,114.14055,Entire apartment,Entire place,3,2,"[""Hair dryer"", ""Hot water"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Luggage dropoff allowed"", ""Shampoo"", ""Refrigerator"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Microwave"", ""Dedicated workspace"", ""Heating"", ""Iron"", ""Cooking basics"", ""Pack \u2019n Play/travel crib"", ""Lockbox"", ""Long term stays allowed"", ""Washer"", ""TV"", ""Dishes and silverware""]",620,3,1125,90,10,8,10,10,10,9,FALSE
32771653,Cherish,82584207,2016-07-09,Hong Kong,NA,NA,0.6,FALSE,1,TRUE,TRUE,Islands,NA,Hong Kong,22.29665,114.02576,Entire apartment,Entire place,4,2,"[""Shampoo"", ""Hair dryer"", ""Dryer"", ""Fire extinguisher"", ""Long term stays allowed"", ""Private entrance"", ""Heating"", ""Washer"", ""Iron"", ""TV"", ""Air conditioning"", ""First aid kit"", ""Hangers"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Elevator""]",1200,3,1125,94,10,10,10,10,10,10,FALSE
23641569,Quiet Haven in the Heart or Wan Chai,4269371,2012-11-28,"Hong Kong, Hong Kong",NA,NA,0.33,FALSE,1,TRUE,TRUE,Wan Chai,NA,Hong Kong,22.27665,114.17091,Entire apartment,Entire place,2,1,"[""Hair dryer"", ""Dryer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Heating"", ""Washer"", ""Iron"", ""TV"", ""Air conditioning"", ""Wifi"", ""Kitchen"", ""Essentials""]",900,3,1125,95,10,10,9,9,10,9,FALSE
30138326,Mui Wo Apartment with Sea View,19823452,2014-08-11,"Hong Kong, Hong Kong",NA,NA,0.85,FALSE,1,TRUE,TRUE,Islands,NA,Hong Kong,22.26395,114.00121,Entire apartment,Entire place,3,1,"[""Lockbox"", ""Shampoo"", ""Hair dryer"", ""Dryer"", ""Patio or balcony"", ""BBQ grill"", ""Dedicated workspace"", ""Long term stays allowed"", ""Private entrance"", ""Washer"", ""Iron"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Smoke alarm"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Waterfront""]",800,2,1125,98,10,10,10,10,10,10,FALSE
1622894,"Newly renovated, bright open 1bd apt, Sai Ying Pun",5082241,2013-02-14,Hong Kong,NA,NA,0,FALSE,1,TRUE,FALSE,Central & Western,NA,Hong Kong,22.29236,114.14844,Entire apartment,Entire place,2,1,"[""Stove"", ""Shampoo"", ""Coffee maker"", ""Hair dryer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Hot water"", ""Heating"", ""Washer"", ""Iron"", ""Air conditioning"", ""Refrigerator"", ""Wifi"", ""Kitchen"", ""Cooking basics"", ""Hangers"", ""Keypad"", ""Essentials"", ""Elevator"", ""Dishes and silverware""]",750,4,1125,96,10,10,10,10,10,10,FALSE
4703320,"Spacious 1,000 sq ft apt in Central",24313210,2014-11-30,"Hong Kong Island, Hong Kong",NA,NA,0,FALSE,1,TRUE,TRUE,Central & Western,NA,Hong Kong,22.27827,114.15447,Entire apartment,Entire place,2,1,"[""Shampoo"", ""Long term stays allowed"", ""Washer"", ""TV"", ""Air conditioning"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Cable TV""]",1500,1,1125,80,6,8,10,6,10,10,FALSE
